연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2021,04,읍면동,경기도 고양시 일산서구 송포동 ,21791,1660,2257,3057,2859,3715,4032,2405,1120,605,78,3,10757,807,1157,1678,1368,1757,1993,1218,506,252,19,2,11034,853,1100,1379,1491,1958,2039,1187,614,353,59,1
2021,04,읍면동,경기도 고양시 일산서구 일산1동,27371,1927,2639,3936,3162,4230,5214,3383,1809,944,121,6,13236,975,1302,2041,1589,2002,2504,1657,769,363,34,0,14135,952,1337,1895,1573,2228,2710,1726,1040,581,87,6
2021,04,읍면동,경기도 고양시 일산서구 일산2동,18543,885,1463,2703,1929,2516,4151,2835,1252,703,102,4,9201,428,782,1421,982,1249,2050,1470,539,254,26,0,9342,457,681,1282,947,1267,2101,1365,713,449,76,4
2021,04,읍면동,경기도 고양시 일산서구 일산3동,35670,2576,5714,4733,3486,7043,6533,3233,1357,841,151,3,17330,1367,2912,2443,1698,3114,3180,1708,565,300,42,1,18340,1209,2802,2290,1788,3929,3353,1525,792,541,109,2
2021,04,읍면동,경기도 고양시 일산서구 주엽1동,28083,1811,3192,3771,3317,4586,5039,3205,1693,1292,169,8,13145,918,1599,1934,1563,2033,2344,1580,669,446,56,3,14938,893,1593,1837,1754,2553,2695,1625,1024,846,113,5
2021,04,읍면동,경기도 고양시 일산서구 주엽2동,29136,1960,3188,3764,3303,4742,5206,3331,1966,1454,217,5,13641,1021,1600,1896,1582,2161,2418,1651,758,485,68,1,15495,939,1588,1868,1721,2581,2788,1680,1208,969,149,4
2021,04,읍면동,경기도 고양시 일산서구 탄현동 ,51817,4496,5492,7344,7043,9092,9530,4847,2326,1422,223,2,25380,2309,2805,3784,3470,4364,4674,2488,938,495,53,0,26437,2187,2687,3560,3573,4728,4856,2359,1388,927,170,2
2021,04,시군,경기도 과천시 ,68955,5934,6736,9278,9691,10388,12021,8464,3967,2044,395,37,33846,3088,3477,4865,4855,5022,5790,4117,1777,749,97,9,35109,2846,3259,4413,4836,5366,6231,4347,2190,1295,298,28
2021,04,읍면동,경기도 과천시 갈현동 ,14962,1762,1801,1704,2009,2696,2398,1506,699,330,53,4,7264,916,901,865,910,1312,1183,742,288,130,17,0,7698,846,900,839,1099,1384,1215,764,411,200,36,4
2021,04,읍면동,경기도 과천시 과천동 ,9404,621,579,1290,1598,1395,1528,1398,677,277,41,0,4921,316,318,717,915,759,755,686,334,108,13,0,4483,305,261,573,683,636,773,712,343,169,28,0
